#
# Transition date estimate for tworfaa
#
# Site: tworfaa
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2023
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:16:32
# Spline RMSE gcc_mean: 0.00408
# Spline RMSE gcc_50: 0.00447
# Spline RMSE gcc_75: 0.0041
# Spline RMSE gcc_90: 0.00424
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tworfaa,AG,1000,falling,gcc_90,2021-09-19,2021-09-17,2021-09-11,2021-09-21,2021-09-18,2021-09-13,2021-09-17,2021-09-15,2021-09-10,0.3494,0.35592,0.37765,0.34315,0.40816
tworfaa,AG,1000,falling,gcc_90,2021-03-16,2021-03-14,2021-03-10,2021-03-17,2021-03-15,2021-03-12,2021-03-14,2021-03-12,2021-03-09,0.33969,0.35031,0.38534,0.33201,0.42605
tworfaa,AG,1000,falling,gcc_90,2020-10-05,2020-10-02,2020-09-25,2020-10-06,2020-10-03,2020-09-26,2020-10-03,2020-09-30,2020-06-30,0.35458,0.36769,0.3867,0.34928,0.42403
tworfaa,AG,1000,falling,gcc_90,2019-08-05,2019-08-02,2019-07-28,2019-08-06,2019-08-03,2019-07-30,2019-08-02,2019-07-31,2019-07-26,0.34802,0.35865,0.37886,0.34464,0.41233
tworfaa,AG,1000,falling,gcc_90,2019-03-27,2019-03-25,2019-03-20,2019-03-29,2019-03-26,2019-03-22,2019-03-25,2019-03-23,2019-03-19,0.34742,0.35877,0.39545,0.33754,0.4439
tworfaa,AG,1000,falling,gcc_90,2018-06-28,2018-06-25,2018-06-17,2018-06-29,2018-06-26,2018-06-20,2018-06-26,2018-06-23,2018-06-15,0.3501,0.36432,0.3943,0.34328,0.44141
tworfaa,AG,1000,falling,gcc_75,2023-03-15,2023-03-13,2023-03-08,2023-03-17,2023-03-14,2023-03-10,2023-03-13,2023-03-11,2023-03-07,0.34528,0.35327,0.38065,0.33819,0.41524
tworfaa,AG,1000,falling,gcc_75,2022-06-30,2022-06-27,2022-06-20,2022-07-01,2022-06-28,2022-06-22,2022-06-28,2022-06-25,2022-06-19,0.3354,0.35068,0.38622,0.32664,0.43855
tworfaa,AG,1000,falling,gcc_75,2021-09-19,2021-09-17,2021-09-11,2021-09-21,2021-09-18,2021-09-14,2021-09-17,2021-09-15,2021-09-10,0.34745,0.35389,0.37526,0.34139,0.4036
tworfaa,AG,1000,falling,gcc_75,2021-03-16,2021-03-14,2021-03-10,2021-03-17,2021-03-15,2021-03-12,2021-03-14,2021-03-12,2021-03-09,0.33499,0.34524,0.37944,0.32793,0.42204
tworfaa,AG,1000,falling,gcc_75,2020-07-14,2020-07-09,2020-07-02,2020-07-16,2020-07-10,2020-07-05,2020-07-11,2020-07-07,2020-07-01,0.34357,0.35611,0.38224,0.33697,0.42192
tworfaa,AG,1000,falling,gcc_75,2019-08-04,2019-08-02,2019-07-28,2019-08-06,2019-08-03,2019-07-30,2019-08-02,2019-07-31,2019-07-26,0.34889,0.35602,0.37613,0.34218,0.4099
