#
# Transition date estimate for uiefmiscanthus2
#
# Site: uiefmiscanthus2
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2019
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:17:15
# Spline RMSE gcc_mean: 0.00448
# Spline RMSE gcc_50: 0.00477
# Spline RMSE gcc_75: 0.00484
# Spline RMSE gcc_90: 0.00514
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
uiefmiscanthus2,AG,1000,falling,gcc_75,2023-11-01,2023-10-27,2023-10-21,2023-11-03,2023-10-28,2023-10-22,2023-10-30,2023-10-26,2023-10-20,0.32554,0.34261,0.37129,0.31566,0.42378
uiefmiscanthus2,AG,1000,falling,gcc_75,2022-10-21,2022-10-17,2022-10-11,2022-10-22,2022-10-18,2022-10-13,2022-10-20,2022-10-16,2022-10-10,0.3207,0.3383,0.371,0.3094,0.42682
uiefmiscanthus2,AG,1000,falling,gcc_75,2021-11-12,2021-11-05,2021-10-28,2021-11-16,2021-11-06,2021-10-30,2021-11-08,2021-11-03,2021-10-26,0.32419,0.33558,0.36308,0.31556,0.40819
uiefmiscanthus2,AG,1000,falling,gcc_75,2020-10-11,2020-10-09,2020-10-04,2020-10-12,2020-10-10,2020-10-05,2020-10-10,2020-10-07,2020-10-03,0.33593,0.34556,0.38026,0.32595,0.42615
uiefmiscanthus2,AG,1000,falling,gcc_75,2019-10-23,2019-10-19,2019-10-03,2019-10-24,2019-10-20,2019-10-05,2019-10-21,2019-10-17,2019-10-02,0.3274,0.34608,0.37526,0.31897,0.43018
uiefmiscanthus2,AG,1000,falling,gcc_50,2024-10-22,2024-10-21,2024-10-17,2024-10-23,2024-10-22,2024-10-18,2024-10-21,2024-10-19,2024-10-16,0.31343,0.32258,0.36749,0.30324,0.42327
uiefmiscanthus2,AG,1000,falling,gcc_50,2023-11-01,2023-10-27,2023-10-21,2023-11-02,2023-10-28,2023-10-22,2023-10-30,2023-10-26,2023-10-20,0.32346,0.33951,0.36849,0.31438,0.42001
uiefmiscanthus2,AG,1000,falling,gcc_50,2022-10-22,2022-10-17,2022-10-11,2022-10-23,2022-10-18,2022-10-12,2022-10-20,2022-10-16,2022-10-10,0.31519,0.33602,0.36667,0.30709,0.42297
uiefmiscanthus2,AG,1000,falling,gcc_50,2021-11-12,2021-11-05,2021-10-28,2021-11-16,2021-11-06,2021-10-30,2021-11-09,2021-11-03,2021-10-26,0.32293,0.3342,0.36046,0.31381,0.40515
uiefmiscanthus2,AG,1000,falling,gcc_50,2020-10-11,2020-10-09,2020-10-04,2020-10-12,2020-10-10,2020-10-06,2020-10-10,2020-10-07,2020-10-03,0.33346,0.34313,0.37768,0.32385,0.41999
uiefmiscanthus2,AG,1000,falling,gcc_50,2019-10-23,2019-10-20,2019-10-03,2019-10-24,2019-10-21,2019-10-06,2019-10-21,2019-10-18,2019-10-02,0.32582,0.34075,0.3729,0.31734,0.42397
uiefmiscanthus2,AG,1000,falling,gcc_mean,2024-10-22,2024-10-21,2024-10-17,2024-10-23,2024-10-22,2024-10-18,2024-10-21,2024-10-19,2024-10-16,0.31307,0.32236,0.36778,0.30262,0.42311
uiefmiscanthus2,AG,1000,falling,gcc_mean,2023-11-01,2023-10-27,2023-10-21,2023-11-03,2023-10-28,2023-10-22,2023-10-30,2023-10-26,2023-10-20,0.32323,0.33959,0.36851,0.31273,0.42087
uiefmiscanthus2,AG,1000,falling,gcc_mean,2022-10-22,2022-10-18,2022-10-11,2022-10-23,2022-10-19,2022-10-13,2022-10-20,2022-10-16,2022-10-10,0.315,0.33172,0.36793,0.30646,0.42318
uiefmiscanthus2,AG,1000,falling,gcc_mean,2021-11-12,2021-11-04,2021-10-26,2021-11-16,2021-11-05,2021-10-29,2021-11-08,2021-11-02,2021-10-24,0.32243,0.33401,0.36076,0.31387,0.40453
uiefmiscanthus2,AG,1000,falling,gcc_mean,2020-10-12,2020-10-09,2020-10-04,2020-10-13,2020-10-10,2020-10-05,2020-10-10,2020-10-07,2020-10-03,0.3299,0.34326,0.37724,0.3239,0.421
uiefmiscanthus2,AG,1000,falling,gcc_mean,2019-10-23,2019-10-20,2019-10-03,2019-10-24,2019-10-21,2019-10-05,2019-10-21,2019-10-18,2019-10-02,0.32529,0.33988,0.37178,0.31693,0.42353
